    + --- ---------------- --------- + --- ---------------- --------- + --- ---------------- --------- +
    |               Plain recursion1 |               Plain recursion2 |                Plain iterative |
--- + --- ---------------- --------- + --- ---------------- --------- + --- ---------------- --------- +
  n | sol            count  cpu time | sol            count  cpu time | sol            count  cpu time |
--- + --- ---------------- --------- + --- ---------------- --------- + --- ---------------- --------- +
380 |                                |                                | 120              626 6.200e-06 |
400 |                                |                                | 128              678 4.900e-06 |
420 |                                |                                | 134              699 6.400e-06 |
440 |                                |                                | 139              729 7.500e-06 |
460 |                                |                                | 147              773 5.300e-06 |
480 |                                |                                | 152              792 5.100e-06 |
500 |                                |                                | 159              830 7.300e-06 |
520 |                                |                                | 166              864 5.930e-05 |
540 |                                |                                | 171              890 7.600e-06 |
560 |                                |                                | 178              935 6.600e-06 |
580 |                                |                                | 185              966 6.100e-06 |
600 |                                |                                | 189              990 6.200e-06 |
620 |                                |                                | 195             1027 6.600e-06 |
640 |                                |                                | 203             1063 7.400e-06 |
660 |                                |                                | 208             1095 7.000e-06 |
680 |                                |                                | 214             1129 7.200e-06 |
700 |                                |                                | 222             1173 7.500e-06 |
720 |                                |                                | 227             1197 7.400e-06 |
740 |                                |                                | 236             1250 7.600e-06 |
760 |                                |                                | 241             1271 7.700e-06 |
780 |                                |                                | 244             1293 7.700e-06 |
800 |                                |                                | 253             1347 8.200e-06 |
--- + --- ---------------- --------- +
